GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
55707	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	8	7	7	7	7	7	7	8	7	7	7	9	7	8
107984921	6	5	5	6	6	6	6	6	6	7	6	6	7	7	5	7	6	6	6	6	6	6	7	6	7	6	6	6	7	6	6
100500876	8	8	7	7	8	7	8	7	8	8	7	6	7	8	7	7	7	6	7	6	6	7	7	9	7	7	8	6	6	7	7
9696	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
100132147	5	5	6	6	6	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
26870	6	6	5	5	7	6	7	5	6	6	5	6	5	6	5	5	6	6	6	7	4	5	5	6	5	7	8	5	5	6	5
400743	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4	4	5	4	5	5	5	5	5	5	6	4	4	4	5
29943	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	4	4	5	5
51702	6	6	5	5	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	6	6	5	5	5	5
23569	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5
353238	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
114515514	8	7	8	8	6	7	6	8	8	7	9	10	7	9	8	8	9	10	7	9	7	7	6	7	9	7	6	8	11	8	9
55160	6	6	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	7	6	7	6	7	6	6	6	6	6	6	6	6	7
81569	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
84966	5	6	5	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	5	5	6
